company,domain,hubspot_company_id,in_hubspot,composite,tier,sites,city_state,nearest_primo,domain_source
Delivert Logistics LLC,,,no,33.25,C,1,"Byron Center, MI",US PL Mecosta Factory,
Amazon Fulfillment Center CMH3,amazon.com,8981959027,yes,33.25,A,1,"Monroe, OH",US PL Greenwood Indiana,package
Friends United - Food Distribution Center,,,no,33.23,C,1,"Timmonsville, SC",US PL McBee Factory,
Mungo Farms Meat Co. - Mungo's Deer Processing,,,no,33.2,C,1,"Heath Springs, SC",US PL McBee Factory,
Carolina Foods,,,no,33.2,C,3,"Pineville, NC",US PL McBee Factory,
"Specialty Delivery & Logistics, Inc.",,,no,33.12,C,1,"Fort Mill, SC",US PL McBee Factory,
SpartanNash Distribution Center,spartannash.com,54180580500,yes,33.12,C,3,"Byron Center, MI",US PL Mecosta Factory,package
Boss Logistics LLC,,,no,33.12,C,1,"Charlotte, NC",US PL McBee Factory,
Pioneer Cold Logistic Services,pioneercold.com,,no,33.11,A,1,"Chicopee, MA",US PL Saratoga Spring Factory,package
Lightning Manufacturing Group,,,no,33.08,D,1,"Grand Rapids, MI",US PL Mecosta Factory,
axium foods warehouse,,,no,33.07,C,1,"Beloit, WI",US PL Madison Factory,
Forms & Fulfillment Services Inc.,,,no,33.04,C,1,"Gowen, MI",US PL Mecosta Factory,
Macys Distribution Center,macys.com,55554506061,yes,33.03,C,1,"Tomball, TX",US PL S Houston Factory,package
BDL4 Amazon Fulfillment Center,amazon.com,8981959027,yes,33.03,A,1,"Windsor, CT",US PL Saratoga Spring Factory,package
Hospitality Logistics International,,,no,33.01,C,1,"Charlotte, NC",US PL McBee Factory,
MKE2 Amazon Center,amazon.com,8981959027,yes,33.01,A,1,"Oak Creek, WI",US PL Madison Factory,package
Spencer's Warehouse,spencersonline.com,54771958043,yes,32.98,C,1,"Charlotte, NC",US PL McBee Factory,package
Caribbean Logistics LLC,,,no,32.98,C,1,"Pineville, NC",US PL McBee Factory,
SpartanNash Chill Warehouse Turnstile,,,no,32.98,C,1,"Byron Center, MI",US PL Mecosta Factory,
"C-H-E Integrity Logistics, LLC",,,no,32.97,D,1,"Pittsburg, TX",US PL Hawkins Factory,
"Michaels Distribution Center Jacksonville, FL",,,no,32.96,C,1,"Jacksonville, FL",US PL High Springs Factory,
Dayton Freight- Grand Rapids,daytonfreight.com,,no,32.96,C,1,"Byron Center, MI",US PL Mecosta Factory,curated:
DCA1 Amazon Fulfillment Center,amazon.com,8981959027,yes,32.96,A,1,"Edgemere, MD",US PL Allentown NPL Factory,package
Western Massachusetts Food Processing Center,,,no,32.94,B,1,"Greenfield, MA",US PL Saratoga Spring Factory,
Southeast Logistics,,,no,32.89,C,1,"Amity, AR",US DC Hot Springs (WHSE),
Amazon Fulfillment Center LUK2,amazon.com,8981959027,yes,32.87,A,1,"Vandalia, OH",US PL Greenwood Indiana,package
"E-ONE Inc. Production Plant 4, Aerial",,,no,32.85,D,1,"Ocala, FL",US PL High Springs Factory,
Paradigm Plus – Distribution Center,paradigm-plus.com,,no,32.85,C,1,"Hudsonville, MI",US PL Mecosta Factory,company_core:high
Distribution Technology Warehouse #8,,,no,32.83,C,1,"Charlotte, NC",US PL McBee Factory,
Highland Industries,,,no,32.82,D,1,"Cheraw, SC",US PL McBee Factory,
Amazon BOS5,amazon.com,8981959027,yes,32.82,A,1,"Stoughton, MA",US PL Hollis Factory,package
Possum Trail Processing,,,no,32.81,C,1,"Chiefland, FL",US PL High Springs Factory,
Amphora Nutritional Manufacturing,,,no,32.81,D,1,"Quitman, TX",US PL Hawkins Factory,
"Pendu Manufacturing, LLC",,,no,32.81,D,1,"New Holland, PA",US PL Allentown NPL Factory,
On Your Way Storage,,,no,32.78,D,1,"Howard City, MI",US PL Mecosta Factory,
OAK3 Amazon Fulfillment Center,amazon.com,8981959027,yes,32.78,A,1,"Patterson, CA",US PL Sacramento Factory,package
Truly Good Foods,goodfoods.com,,no,32.77,C,1,"Charlotte, NC",US PL McBee Factory,parent_facility:medium
"Gemini Logistics of North Florida/ Gemini Logistics / Gemini Warehouse, Inc.",,,no,32.75,C,1,"Jacksonville, FL",US PL High Springs Factory,
Logistics Pointe Distribution Center,,,no,32.75,C,1,"Charlotte, NC",US PL McBee Factory,
MCO2 Amazon,amazon.com,8981959027,yes,32.73,A,1,"Deltona, FL",US PL Zephyrhills Factory,package
Ocala Manufacturing Co Shop,,,no,32.72,D,1,"Ocala, FL",US PL High Springs Factory,
Carolinas Crossdock 3PL LLC,,,no,32.72,C,1,"Charlotte, NC",US PL McBee Factory,
Chewy Fulfillment Center MDT1,chewy.com,,no,32.72,A,1,"Lewisberry, PA",US PL Allentown NPL Factory,curated:
Yo Mama's Foods,,,no,32.7,C,1,"Clearwater, FL",US PL Zephyrhills Factory,
Samaritan Purse warehouse,,,no,32.7,C,1,"Charlotte, NC",US PL McBee Factory,
Tesla Manufacturing - Grand Rapids,,,no,32.69,D,1,"Grand Rapids, MI",US PL Mecosta Factory,
MCO2 Amazon FC Truck Entrance,amazon.com,8981959027,yes,32.65,A,1,"Deltona, FL",US PL Zephyrhills Factory,package
Dixfield Food Pantry - Food Distribution Center,,,no,32.64,C,1,"Dixfield, ME",US PL Kingfield Factory,
Big Sky Fulfillment,bigskyfulfillment.com,,no,32.64,C,1,"Charlotte, NC",US PL McBee Factory,company_exact:high
Atlantic Sweetener Inc,,,no,32.64,C,1,"Charlotte, NC",US PL McBee Factory,
Easy Foods Inc Kissimmee,,,no,32.61,C,1,"Kissimmee, FL",US PL Zephyrhills Factory,
Cabinet Warehouse Plus,,,no,32.57,C,1,"Hudson, FL",US PL Zephyrhills Factory,
GM CROSSDOCK #939,,,no,32.57,C,1,"Charlotte, NC",US PL McBee Factory,
"Sunny Morning Foods, an Honor Foods Company",,,no,32.56,C,1,"Kissimmee, FL",US PL Zephyrhills Factory,
Ashlynn's Gourmet,,,no,32.56,C,1,"Clearwater, FL",US PL Zephyrhills Factory,
Alta supply and packaging,,,no,32.56,C,1,"North Little Rock, AR",US PL Hot Springs 2 Factory,
Advantage Logistics inc,,,no,32.54,C,1,"Lexington, SC",US PL McBee Factory,
AJS Discount Warehouse,,,no,32.54,C,1,"Charlotte, NC",US PL McBee Factory,
Amazon GSP1,amazon.com,8981959027,yes,32.53,A,1,"Spartanburg, SC",US PL McBee Factory,package
MG Foods,,,no,32.52,C,1,"Charlotte, NC",US PL McBee Factory,
Cherchies Specialty Foods,,,no,32.5,C,1,"Chester Springs, PA",US PL Allentown NPL Factory,
Ontrak Logistics,,,no,32.49,C,1,"Charlotte, NC",US PL McBee Factory,
Talsma Furniture Warehouse,,,no,32.47,C,1,"Hudsonville, MI",US PL Mecosta Factory,
PHL7 - Amazon Fulfillment Center,amazon.com,8981959027,yes,32.45,A,1,"Middletown, DE",US PL Allentown NPL Factory,package
Carolina Renovation Warehouse,,,no,32.44,C,1,"Charlotte, NC",US PL McBee Factory,
"Promesa Logistics, LLC",,,no,32.44,C,1,"Hudsonville, MI",US PL Mecosta Factory,
MDT4 Amazon Fulfillment Center,amazon.com,8981959027,yes,32.44,A,1,"York, PA",US PL Allentown NPL Factory,package
Crown Cork & Seal Co Inc,,,no,32.43,D,1,"Cheraw, SC",US PL McBee Factory,
Mercy Ships International Support Center,,,no,32.39,D,1,"Lindale, TX",US PL Hawkins Factory,
UTI Intregrated Logistics,,,no,32.39,C,1,"West Columbia, SC",US PL McBee Factory,
CBI Warehouse,,,no,32.39,C,1,"Charlotte, NC",US PL McBee Factory,
Scenic Road Manufacturing,,,no,32.38,C,1,"Denver, PA",US PL Allentown NPL Factory,
TNT SUPPLEMENTS,,,no,32.38,C,1,"Leesburg, FL",US PL Zephyrhills Factory,
Stonewall Kitchen York Company Store,,,no,32.37,C,1,"York, ME",US PL Hollis Factory,
W Ludwig Manufacturing Inc,,,no,32.37,D,1,"Orlando, FL",US PL Zephyrhills Factory,
B Robert's Foods,,,no,32.37,C,1,"Charlotte, NC",US PL McBee Factory,
Prep Partners Group,,,no,32.35,D,1,"Rochester, NH",US PL Hollis Factory,
C&K Plastics Pennsylvania,,,no,32.35,D,1,"Easton, PA",US DC NFI - Breinigsville,
Irwin Seating Distribution Center,,,no,32.34,C,1,"Spring Lake, MI",US PL Mecosta Factory,
Proper Beverage Co.,,,no,32.34,C,1,"Hudsonville, MI",US PL Mecosta Factory,
Brown West Logistics,,,no,32.3,C,1,"Charlotte, NC",US PL McBee Factory,
Commonwealth Logistics Center,,,no,32.3,C,1,"Jacksonville, FL",US PL High Springs Factory,
Les Blankenship Logistics,,,no,32.29,C,1,"Mt Vernon, TX",US PL Hawkins Factory,
Griffin Industries Inc,,,no,32.27,C,1,"Jacksonville, FL 32210, USA",US PL High Springs Factory,
Northbay Logistics Center,,,no,32.25,C,1,"Vacaville, CA 95688, USA",US PL Sacramento Factory,
Nutramax Warehouse,,,no,32.25,D,1,"Lancaster, SC",US PL McBee Factory,
Butterfield Foods LLC,,,no,32.25,C,1,"Noblesville, IN",US PL Greenwood Indiana,
Verdure Sciences,,,no,32.25,C,1,"Noblesville, IN",US PL Greenwood Indiana,
Network Distribution Center,,,no,32.25,C,1,"Jacksonville, FL",US PL High Springs Factory,
"CNH- New Holland Agriculture, New Holland Construction Manufacturing Plant, Offices, R&D",,,no,32.24,D,1,"New Holland, PA",US PL Allentown NPL Factory,
Magellan Transport Logistics,magellantransportlogistics.com,,no,32.19,C,1,"Jacksonville, FL",US PL High Springs Factory,company_exact:high
Sea Freight Logistics,sfzone.in,,no,32.18,C,1,"Jacksonville, FL 32219, USA",US PL High Springs Factory,company_fuzzy:medium
"Queen Logistics, LLC",shipqueen.com,,no,32.15,C,1,"Charlotte, NC",US PL McBee Factory,company_exact:high
Excellence Logistics LLC,,,no,32.15,C,1,"Charlotte, NC",US PL McBee Factory,
Hickory Foods Inc,,,no,32.15,C,2,"Jacksonville, FL",US PL High Springs Factory,
Hope Warehouse LLP,,,no,32.14,C,1,"Hope, IN",US PL Greenwood Indiana,
Worldpac Charlotte Warehouse,,,no,32.13,C,1,"Charlotte, NC",US PL McBee Factory,
BWF. Fire Wood Warehouse,,,no,32.12,C,1,"Ennis, TX",US PL Dallas 2 Factory,
Gateway Manufacturing Agricultural & Commercial Equipment,,,no,32.12,C,1,"Clare, MI",US PL Mecosta Factory,
Salvation Army Corps Community Center Office- Alma - Food Distribution Center,,,no,32.12,C,1,"Alma, MI",US PL Mecosta Factory,
Premier Protective Packaging,,,no,32.1,D,1,"Grand Rapids, MI",US PL Mecosta Factory,
Charlotte Bonded Warehouse,,,no,32.1,C,1,"Charlotte, NC",US PL McBee Factory,
Bravo Foods,,,no,32.08,C,1,"Jacksonville, FL",US PL High Springs Factory,
Annette's Attic Warehouse,,,no,32.07,C,1,"Old Town, FL",US PL High Springs Factory,
The Warehouse Social Club operated by the Military Fire Police Support Association,,,no,32.07,C,1,"Leesburg, FL",US PL Zephyrhills Factory,
Precision Packaging Inc,,,no,32.07,D,1,"North Little Rock, AR",US PL Hot Springs 2 Factory,
Wagner Logistics,wagnerindustries.com,,no,32.06,C,2,"Jacksonville, FL",US PL High Springs Factory,company_exact:high
Coastal International Logistics,,,no,32.06,C,1,"Jacksonville, FL",US PL High Springs Factory,
American Red Cross Warehouse,,,no,32.06,C,1,"Charlotte, NC",US PL McBee Factory,
Dash Courier and Logistics,,,no,32.06,C,1,"Charlotte, NC",US PL McBee Factory,
Lance,,,no,32.06,C,1,"Charlotte, NC",US PL McBee Factory,
CAIF - Concentrated Active Ingredients and Flavors,,,no,32.06,C,1,"West Columbia, SC",US PL McBee Factory,
BGF Industries Inc,,,no,32.04,D,1,"Cheraw, SC",US PL McBee Factory,
Frito-Lay Liberty,fritolay.com,54772621360,yes,32.04,A,1,"Liberty, NY",US DC NFI - Breinigsville,package
Big Reds,,,no,32.03,C,1,"Newport, ME",US PL Kingfield Factory,
Red Oak Logistics,,,no,32.03,C,1,"Jacksonville, FL",US PL High Springs Factory,
Wasserstrom Jacksonville Distribution Center,,,no,32.03,C,1,"Jacksonville, FL",US PL High Springs Factory,
Johnstone Supply Distribution Center,johnstonesupply.com,54404007990,yes,32.03,C,1,"Jacksonville, FL",US PL High Springs Factory,package
Transport Arthur Cuming Inc,,,no,32.03,A,1,"Cookshire-Eaton, QC",US PL Kingfield Factory,
Fastenal Canada Fulfillment Center,fastenal.com,,no,32.02,A,4,"Saint-Georges, QC",US PL Kingfield Factory,curated:
Ship My Deal,,,no,32.01,D,1,"Temecula, CA",US PL Cabazon Factory,
Custom Commodities,,,no,32,D,1,"Gilmer, TX",US PL Hawkins Factory,
Smokey’s egg factory,,,no,31.99,C,1,"Fort Ann, NY",US PL Saratoga Spring Factory,
Stonewall Kitchen Dover Distribution Center,,,no,31.99,C,1,"Dover, NH",US PL Hollis Factory,
Sports Warehouse,,,no,31.99,C,1,"La Quinta, CA",US PL Cabazon Factory,
Winn dixie warehouse/ C&S Wholesale Groceries,,,no,31.99,C,1,"Jacksonville, FL",US PL High Springs Factory,
Dominant Express 24/7 Cross Dock and Warehouse,,,no,31.99,C,1,"Charlotte, NC",US PL McBee Factory,
Amazon RDU9 Fulfillment Center,amazon.com,8981959027,yes,31.97,A,1,"Mebane, NC",US PL McBee Factory,package
Vistapak Industries Inc,,,no,31.94,C,1,"Leesburg, FL",US PL Zephyrhills Factory,
Metropolitan Warehouse and Delivery,metropolitanwarehouse.com,,no,31.94,C,1,"Jacksonville, FL",US PL High Springs Factory,parent_facility:medium
Saturiwa Trading Co.,,,no,31.94,C,1,"Jacksonville, FL",US PL High Springs Factory,
Kraft Heinz-Newberry,kraftheinzcompany.com,55354356550,yes,31.94,A,1,"Newberry, SC",US PL McBee Factory,package
Fisher Barton Specialty Products / Blades Warehouse,,,no,31.93,C,1,"Watertown, WI",US PL Madison Factory,
Hotel Liquidation Warehouse,,,no,31.93,C,2,"Hudson, FL",US PL Zephyrhills Factory,
Fisher Barton Distribution Center,,,no,31.93,D,1,"Watertown, WI",US PL Madison Factory,
Crossdock 24/7 Jacksonville,,,no,31.92,C,1,"Jacksonville, FL",US PL High Springs Factory,
Amazon DTW8,amazon.com,8981959027,yes,31.91,A,1,"Plymouth, MI",US PL Mecosta Factory,package
Fabian Transportation Inc,,,no,31.9,D,1,"Oakland, ME",US PL Kingfield Factory,
National Furniture Warehouse,,,no,31.89,C,1,"Jacksonville, FL",US PL High Springs Factory,
CLT Freight Brokers LLC,,,no,31.89,C,1,"Charlotte, NC",US PL McBee Factory,
"BDL3 Amazon, North Haven",amazon.com,8981959027,yes,31.88,A,1,"North Haven, CT",US PL Saratoga Spring Factory,package
Crane Worldwide Logistics - Charlotte,craneco.com,54773431206,yes,31.87,C,1,"Charlotte, NC",US PL McBee Factory,package
Nationwide Mattress and Furniture Warehouse,,,no,31.87,C,1,"Jacksonville, FL",US PL High Springs Factory,
DDT9 Amazon,amazon.com,8981959027,yes,31.86,A,1,"Canton Township, MI",US PL Mecosta Factory,package
Fort Ann Super Stop,,,no,31.85,C,1,"Fort Ann, NY",US PL Saratoga Spring Factory,
"Sensenig Manufacturing, LLC",,,no,31.85,D,1,"Bernville, PA",US PL Allentown NPL Factory,
Drummond warehouse,drummondco.com,54772601410,yes,31.85,C,1,"Jacksonville, FL",US PL High Springs Factory,package
Amazon ORD2 - Fulfillment Center,amazon.com,8981959027,yes,31.84,A,1,"Channahon, IL",US PL Madison Factory,package
We Pack Warehousing & Distribution,,,no,31.82,C,1,"Sulphur Springs, TX",US PL Hawkins Factory,
Amazon Cross-Dock Facility - MDW2,amazon.com,8981959027,yes,31.82,A,2,"Joliet, IL",US PL Madison Factory,package
Volkswagen Distribution Center,volkswagen.de,54773733435,yes,31.8,C,1,"Jacksonville, FL",US PL High Springs Factory,package
BMW Regional Distribution Center,,,no,31.8,C,1,"Jacksonville, FL",US PL High Springs Factory,
Young's Premium Foods,,,no,31.8,C,1,"Charlotte, NC",US PL McBee Factory,
Williams Brothers Trucking - Starke Terminal,,,no,31.78,C,1,"Starke, FL",US PL High Springs Factory,
Warehouse 242,,,no,31.78,C,1,"Charlotte, NC",US PL McBee Factory,
"Dedicated Logistics, Inc.",shipdli.com,,no,31.74,D,1,"Lake Elsinore, CA",US PL Ontario Factory,company_exact:high
Freightz Tansportation Inc,,,no,31.74,C,1,"Port Richey, FL",US PL Zephyrhills Factory,
Truck Gate Aurora Dairy,,,no,31.74,C,1,"Platteville, CO",US PL Denver Factory,
The International Community Warehouse,,,no,31.74,C,1,"Charlotte, NC",US PL McBee Factory,
Pastina Kitchen LLC,,,no,31.74,C,1,"Jacksonville, FL",US PL High Springs Factory,
Philadelphia Warehousing|Warehouse America,,,no,31.73,C,1,"Philadelphia, PA",US PL Allentown NPL Factory,
Perfection Foods,,,no,31.73,C,1,"Philadelphia, PA",US PL Allentown NPL Factory,
Flavor West MFG LLC,,,no,31.7,C,1,"Lake Elsinore, CA",US PL Ontario Factory,
Cold Ass Trailers,,,no,31.68,D,1,"Temecula, CA",US PL Cabazon Factory,
Amazon Fulfillment Center ORD5,amazon.com,8981959027,yes,31.68,A,1,"Matteson, IL",US PL Madison Factory,package
Amazon DET6,amazon.com,8981959027,yes,31.68,A,1,"Detroit, MI",US PL Mecosta Factory,package
"Cole's Secure Storage, LLC",,,no,31.66,D,1,"Arkadelphia, AR",US DC Hot Springs (WHSE),
Galloway Manufacturing Solutions,,,no,31.65,D,1,"Columbia, SC",US PL McBee Factory,
"Dal-Bac Manufacturing Company, Inc. An ISO 9001:2015 Certified company",,,no,31.64,D,1,"Forney, TX",US PL Dallas 2 Factory,
Diamond Logistics,diamondlogistics.co.uk,,no,31.62,C,1,"Port Richey, FL",US PL Zephyrhills Factory,company_exact:high
Esbenshades Denver Fulfillment Center #1,,,no,31.55,C,1,"Denver, PA",US PL Allentown NPL Factory,
Amazon Returns Center CVG2,amazon.com,8981959027,yes,31.55,A,1,"Hebron, KY",US PL Greenwood Indiana,package
Amazon Fulfillment Center MDW7,amazon.com,8981959027,yes,31.55,A,1,"Monee, IL",US PL Madison Factory,package
Azure Water Co.,,,no,31.52,C,1,"Leesburg, FL",US PL Zephyrhills Factory,
Storage Plus of Longview (Main),,,no,31.51,D,1,"Longview, TX",US PL Hawkins Factory,
MM Packaging Charlotte,,,no,31.51,C,1,"Pineville, NC",US PL McBee Factory,
The Sausage Warehouse,,,no,31.49,C,1,"Pittsburg, TX",US PL Hawkins Factory,
Recon Wear - Warehouse,,,no,31.48,C,1,"Blythewood, SC",US PL McBee Factory,
Warehouse Distributors USA LLC,,,no,31.41,D,1,"Lancaster, SC",US PL McBee Factory,
Bonded Logistics,bondedlogistics.com,,no,31.39,C,1,"Charlotte, NC",US PL McBee Factory,company_exact:high
"ELE Logistics, Inc.",elelogistics.com,,no,31.39,C,1,"Charlotte, NC",US PL McBee Factory,company_exact:high
Dysart's Service Center,,,no,31.39,C,1,"Hermon, ME",US PL Kingfield Factory,
Creek View Manufacturing LLC,,,no,31.37,C,1,"East Earl, PA",US PL Allentown NPL Factory,
Orion Fulfillment Center,,,no,31.35,C,1,"Kissimmee, FL",US PL Zephyrhills Factory,
Bullard Crossing Warehouse,,,no,31.34,C,1,"Bullard, TX",US PL Hawkins Factory,
ARP Warehouse,,,no,31.31,C,1,"Blythewood, SC",US PL McBee Factory,
Filcon,,,no,31.29,D,1,"Clare, MI",US PL Mecosta Factory,
Nutty Scoopz,,,no,31.28,C,1,"Jacksonville, FL",US PL High Springs Factory,
Comfort Foods Inc,,,no,31.28,C,1,"North Andover, MA",US PL Hollis Factory,
Crowley Liner & Logistics,crowley.com,55554438402,yes,31.26,C,1,"Jacksonville, FL",US PL High Springs Factory,package
FBMFulfillment.com Warehouse and Fulfillment Center ANNEX,,,no,31.26,C,1,"Jacksonville, FL",US PL High Springs Factory,
Barry Food Sales,,,no,31.25,C,1,"Blue Bell, PA",US PL Allentown NPL Factory,
Arkansas Packaging,,,no,31.25,D,1,"North Little Rock, AR",US PL Hot Springs 2 Factory,
FREZ-n-STOR Terrell,,,no,31.24,D,1,"Terrell, TX",US PL Dallas 2 Factory,
"A & R Warehouse Equipment, Inc.",,,no,31.24,C,1,"Jacksonville, FL",US PL High Springs Factory,
Gentex Corporation Distribution Center,gentexcorp.com,54753761656,yes,31.24,C,1,"Zeeland, MI",US PL Mecosta Factory,package
The Pickle Factory,,,no,31.24,C,1,"Jacksonville, FL",US PL High Springs Factory,
Independent Beverage Company - Lawton,,,no,31.24,C,4,"Charlotte, NC",US PL McBee Factory,
Joe's Furniture Warehouse,,,no,31.23,C,1,"Newport, ME",US PL Kingfield Factory,
Patterson Logistics Services,,,no,31.23,C,1,"Blythewood, SC",US PL McBee Factory,
Crowley logistics,crowley.com,55554438402,yes,31.22,C,1,"Jacksonville, FL",US PL High Springs Factory,package
Crowley Fresh,crowley.com,55554438402,yes,31.22,C,1,"Jacksonville, FL",US PL High Springs Factory,package
Mount Pleasant AME Church - Food Distribution Center,,,no,31.2,C,1,"Lynchburg, SC",US PL McBee Factory,
Forestry logistics,,,no,31.2,D,1,"Ola, AR",US PL Hot Springs Factory,
Belk Distribution Center,,,no,31.19,C,2,"Blythewood, SC",US PL McBee Factory,
Paradise Food Trucks,,,no,31.19,C,1,"Kissimmee, FL",US PL Zephyrhills Factory,
Durham Coca-Cola Bottling Co,coca-colacompany.com,,no,31.19,A,1,"Apex, NC",US PL McBee Factory,package
Preferred Truck Service Center,,,no,31.14,C,1,"Byron Center, MI",US PL Mecosta Factory,
Brent Raymond Cross Dock,,,no,31.13,D,1,"Los Angeles, CA",US PL Ontario Factory,
Lularoe Warehouse,lularoe.com,54415134537,yes,31.11,C,1,"Blythewood, SC",US PL McBee Factory,package
CS Manufacturing Inc.,,,no,31.1,D,1,"Cedar Springs, MI",US PL Mecosta Factory,
Moon Express Inc 24/7 Warehouse and Cross-dock,,,no,31.09,C,1,"Charlotte, NC",US PL McBee Factory,
WeShareSpace Warehouse,,,no,31.09,C,1,"Jacksonville, FL",US PL High Springs Factory,
Sunshine International Foods,,,no,31.09,C,1,"Methuen, MA",US PL Hollis Factory,
Warehouse Location,,,no,31.07,C,1,"St. Louis, MI",US PL Mecosta Factory,
Green's Beverage Warehouse,,,no,31.06,C,1,"Columbia, SC",US PL McBee Factory,
Cook Mfg,,,no,31.05,D,1,"Paris, MI",US PL Mecosta Factory,
Logistics Worldwide,,,no,31.05,C,1,"Jacksonville, FL",US PL High Springs Factory,
Trucking Warehousing Cross-Docking,,,no,31.05,C,1,"Charlotte, NC",US PL McBee Factory,
Cold Stream Storage,,,no,31.02,A,1,"West Enfield, ME",US PL Kingfield Factory,
Smurfit Westrock Claremont Folding Carton Plant,westrockcoffee.com,54720622756,yes,31.02,B,1,"Claremont, NC",US PL McBee Factory,package
Naples Packing Co.,,,no,31.01,C,1,"Mexico, ME",US PL Poland Spring Factory,
Sanmina Corporation,sanmina-sci.com,54772556184,yes,31.01,D,1,"Fort Mill, SC",US PL McBee Factory,package
Jacksonville Fulfillment Center,,,no,31.01,C,1,"Jacksonville, FL",US PL High Springs Factory,
Ola United Methodist Church - Food Distribution Center,,,no,30.99,C,1,"Ola, AR",US PL Hot Springs Factory,
Walkabout Logistics LLC,,,no,30.99,D,1,"Heath, TX",US PL Dallas 2 Factory,
Union Terminal Warehouse,,,no,30.99,C,1,"Jacksonville, FL",US PL High Springs Factory,
Sparrow Lansing Warehouse,,,no,30.97,C,1,"Lansing, MI",US PL Mecosta Factory,
MANCO LOGISTICS CORP,mancolog.com,,no,30.97,C,1,"Jacksonville, FL",US PL High Springs Factory,company_exact:high
Square One Transport & Logistics,s1tl.com,,no,30.97,C,1,"Lansing, MI",US PL Mecosta Factory,company_exact:high
Bafs Inc.,,,no,30.97,C,1,"Bangor, ME",US PL Kingfield Factory,
Lowe’s Pro Distribution Center,,,no,30.95,C,1,"Charlotte, NC",US PL McBee Factory,
Ups Freight Jacksonville Fl,,,no,30.95,C,1,"Jacksonville, FL",US PL High Springs Factory,
Duke's Canton,,,no,30.93,C,1,"Canton, TX",US PL Hawkins Factory,
Skyway Foods,,,no,30.92,C,1,"Longmont, CO",US PL Denver Factory,
Amazon MDW8,amazon.com,8981959027,yes,30.92,A,1,"Waukegan, IL",US PL Madison Factory,package
Sirois Food Products Inc,,,no,30.91,C,1,"Lawrence, MA",US PL Hollis Factory,
Smurfit Westrock Conover Folding Carton Plant,westrockcoffee.com,54720622756,yes,30.91,B,1,"Conover, NC",US PL McBee Factory,package
Corporate Traffic Logistics,corporatetraffic.com,,no,30.89,C,1,"Jacksonville, FL",US PL High Springs Factory,company_exact:high
Medtronic Distribution Center - Jacksonville Campus,medtronic.com,54771833668,yes,30.89,C,1,"Jacksonville, FL",US PL High Springs Factory,package
Health and Beauty Manufacturing,,,no,30.87,C,1,"St. Petersburg, FL",US PL Zephyrhills Factory,
GM Central Distribution Center,,,no,30.87,C,1,"Lansing, MI",US PL Mecosta Factory,
MegaCorp Logistics,megacorplogistics.com,54774295854,yes,30.86,C,1,"Jacksonville, FL",US PL High Springs Factory,package
Schulze Family Processing,,,no,30.85,C,1,"Wellborn, FL",US PL High Springs Factory,
Center Manufacturing,,,no,30.85,D,1,"Byron Center, MI",US PL Mecosta Factory,
Augusta Coca-Cola Bottling Co,coca-colacompany.com,,no,30.85,A,1,"Augusta, GA",US PL McBee Factory,package
Laney & Duke Logistics,,,no,30.84,C,1,"Jacksonville, FL",US PL High Springs Factory,
Florida Fulfillment Center,,,no,30.84,C,1,"Jacksonville, FL",US PL High Springs Factory,
Artisan Chef Manufacturing Co.,,,no,30.84,C,1,"Lawrence, MA",US PL Hollis Factory,
Vanguard Manufacturing,,,no,30.83,D,1,"Williston, FL",US PL High Springs Factory,
The Beverage Warehouse,,,no,30.83,C,2,"Lancaster, SC",US PL McBee Factory,
Newcold Advanced Cold Storage Logistics,,,no,30.82,C,1,"Lebanon, IN",US PL Greenwood Indiana,
Crossdock in Jacksonville,,,no,30.82,C,1,"Jacksonville, FL",US PL High Springs Factory,
"Butterbeans,greens, and wings llc",,,no,30.82,C,1,"Jacksonville, FL",US PL High Springs Factory,
FreeUp Storage Terrell,,,no,30.81,D,1,"Terrell, TX",US PL Dallas 2 Factory,
Gary Containers,,,no,30.8,D,1,"Spring Hill, FL",US PL Zephyrhills Factory,
Hartsfield Warehouse,,,no,30.76,C,1,"Charlotte, NC",US PL McBee Factory,
Horse & Kennel Warehouse,,,no,30.76,C,1,"Jacksonville, FL",US PL High Springs Factory,
"Silver Creek Manufacturing, Inc.",,,no,30.75,D,1,"Norton Shores, MI",US PL Mecosta Factory,
Westco Manufacturing & Associates,,,no,30.75,D,1,"West Columbia, SC",US PL McBee Factory,
Snap-On Tools Distribution Center,,,no,30.71,C,1,"Robesonia, PA",US PL Allentown NPL Factory,
Scarlet Cord Food Pantry - Food Distribution Center,,,no,30.71,C,1,"Amity, AR",US DC Hot Springs (WHSE),
Origin USA,,,no,30.7,D,1,"Jay, ME",US PL Kingfield Factory,
Denton Industrial Park,,,no,30.7,C,1,"Hudson, FL",US PL Zephyrhills Factory,
"J-MAX Transportation & Logistics, Inc",,,no,30.7,C,1,"Zeeland, MI",US PL Mecosta Factory,
Special Distribution Services Inc,,,no,30.7,C,1,"Charlotte, NC",US PL McBee Factory,
Mondelēz International Factory DSD,,,no,30.67,D,1,"West Columbia, SC",US PL McBee Factory,
Request Foods-Quincy Street Plant,,,no,30.66,C,1,"Holland, MI",US PL Mecosta Factory,
Request Foods-Greenly Street Plant,,,no,30.64,C,1,"Holland, MI",US PL Mecosta Factory,
3 Lions Logistics,,,no,30.63,C,1,"Andover, MA",US PL Hollis Factory,
Madrona Specialty Foods Llc,,,no,30.61,C,1,"Charlotte, NC",US PL McBee Factory,
