company,domain,hubspot_company_id,in_hubspot,composite,tier,sites,city_state,nearest_primo,domain_source
Americold Logistics Meacham Ft Worth,americold.com,,no,65.94,A,1,"Fort Worth, TX",US PL Dallas 2 Factory,curated:
Spartan Logistics,spartan.com,54774169214,yes,65.88,C,3,"Houston, TX",US PL S Houston Factory,package
24 Hour Crossdock and Cold Storage,,,no,65.88,C,1,"North Highlands, CA",US PL Sacramento Factory,
Asia Logistics Inc,,,no,65.88,C,1,"Missouri City, TX",US PL S Houston Factory,
Storagent - Storage and Fulfillment center,,,no,65.88,C,1,"Rancho Cordova, CA",US PL Sacramento Factory,
Shores of Hope - Food Distribution Center,,,no,65.88,C,1,"West Sacramento, CA",US PL Sacramento Factory,
PSI Global Logistics,psishipping.com,,no,65.88,C,1,"Houston, TX",US PL S Houston Factory,company_exact:high
Onway Logistics,,,no,65.88,C,1,"Carmichael, CA",US PL Sacramento Factory,
Tigerhawk Logistics,,,no,65.88,C,1,"Pasadena, TX",US PL Pasadena Factory,
Milan Logistics,,,no,65.88,C,1,"Grand Prairie, TX",US PL Dallas 2 Factory,
Jiddo Foods,,,no,65.88,C,1,"Houston, TX",US PL S Houston Factory,
AJJ Transloading,,,no,65.88,C,1,"Fontana, CA",US PL Ontario Factory,
USA MedPro Manufacturing Facility,,,no,65.83,C,1,"Houston, TX",US PL S Houston Factory,
Alchemy Industrial,,,no,65.83,C,1,"Houston, TX",US PL S Houston Factory,
CRST Ontario Terminal,,,no,65.77,D,1,"Ontario, CA",US PL Ontario Factory,
FreeUp Storage Madison,,,no,65.77,D,1,"Madison, WI",US PL Madison Factory,
Rosemont Wine & Liquor,,,no,65.77,D,1,"Sacramento, CA",US PL Sacramento Factory,
Bassett Mechanical,,,no,65.77,D,1,"McFarland, WI",US PL Madison Factory,
"Ecko Ice Products, LLC",,,no,65.77,D,1,"Ontario, CA",US PL Ontario Factory,
"Inpak Systems, Inc",,,no,65.77,D,1,"Madison, WI",US PL Madison Factory,
American Warehouses,,,no,65.75,C,1,"Houston, TX",US PL S Houston Factory,
Cross dock,,,no,65.75,C,11,"Dallas, TX",US PL Dallas 2 Factory,
Best Pak Warehouse,,,no,65.75,C,1,"Houston, TX",US PL S Houston Factory,
DDC-Dependable Distribution Center,,,no,65.75,C,1,"West Sacramento, CA",US PL Sacramento Factory,
Sam's Warehouse Liquors,,,no,65.75,C,1,"Federal Heights, CO",US PL Denver Factory,
"S7 warehouse,LA",,,no,65.75,C,1,"Pomona, CA",US PL Ontario Factory,
Axion Logistics LLC.,,,no,65.75,C,1,"Pasadena, TX",US PL Pasadena Factory,
Mockingbird Distribution Center,,,no,65.75,C,1,"Dallas, TX",US PL Dallas 2 Factory,
Kingsgate Logistics LLC,kingsgatelogistics.com,45004763764,yes,65.75,C,1,"Aurora, CO",US PL Denver Factory,package
Freight Station,,,no,65.75,A,2,"Madison, WI",US PL Madison Factory,
National Food & Beverage,nationalbeverage.com,,no,65.75,C,1,"Dallas, TX",US PL Dallas 2 Factory,parent_facility:medium
Mesquite Tortilla Factory,,,no,65.75,C,1,"South Houston, TX",US PL S Houston Factory,
The Flavor Factory,,,no,65.75,C,1,"Norco, CA",US PL Ontario Factory,
"Flavorpros, LLC dba Richards and Danielson",,,no,65.75,C,1,"Allentown, PA",US DC NFI - Breinigsville,
Sugar Lab of Colorado,,,no,65.75,C,1,"Federal Heights, CO",US PL Denver Factory,
Atlantic Packaging,atlanticpkg.com,54774129964,yes,65.73,D,1,"Dallas, TX",US PL Dallas 2 Factory,package
Harcros Chemicals Inc,,,no,65.73,D,1,"Dallas, TX",US PL Dallas 2 Factory,
Dallas Specialty & Manufacturing Co.,,,no,65.69,C,1,"Grand Prairie, TX",US PL Dallas 2 Factory,
Bayport Container Terminal Truck check-in,,,no,65.69,C,1,"Pasadena, TX",US PL Pasadena Factory,
US Cold Storage,wccoldstorage.com,,no,65.61,C,4,"Dallas, TX",US PL Dallas 2 Factory,company_fuzzy:medium
Mundo Nuevo USA Logistics Dallas,,,no,65.61,C,1,"Grand Prairie, TX",US PL Dallas 2 Factory,
Timco Logistics- Houston Texas Terminal,,,no,65.61,C,1,"Pasadena, TX",US PL Pasadena Factory,
Adams Warehouse and Delivery,,,no,65.61,C,4,"Houston, TX",US PL S Houston Factory,
The Liquidation Warehouse,,,no,65.61,C,1,"South Houston, TX",US PL S Houston Factory,
Apium Logistics LLC,,,no,65.61,C,1,"Sacramento, CA",US PL Sacramento Factory,
By George Food Specialties,,,no,65.61,C,1,"Ballston Spa, NY",US PL Saratoga Spring Factory,
The SOLA Company,,,no,65.61,C,1,"Houston, TX",US PL S Houston Factory,
EVO Transportation - Madison Terminal,evotransinc.com,,no,65.6,D,1,"Madison, WI",US PL Madison Factory,parent_facility:medium
Biagi Bros Inc,,,no,65.6,D,1,"Ontario, CA",US PL Ontario Factory,
CargoX Transport Inc,,,no,65.6,D,1,"Sacramento, CA",US PL Sacramento Factory,
Baaz Cross Dock & Warehousing,,,no,65.6,D,1,"Greenwood, IN",US PL Greenwood Indiana,
Ellwood Texas Forge Houston,,,no,65.6,D,1,"Houston, TX",US PL S Houston Factory,
"BST North America, Inc.",,,no,65.6,D,1,"Madison, WI",US PL Madison Factory,
Sanbor Medical Corporation,,,no,65.6,D,1,"Allentown, PA",US DC NFI - Breinigsville,
Danny Herman Trucking Inc,dannyherman.com,,no,65.55,C,1,"Fontana, CA",US PL Ontario Factory,company_exact:high
Wilton Truck Center,,,no,65.55,C,1,"Gansevoort, NY",US PL Saratoga Spring Factory,
Pilot Dealer,,,no,65.52,C,7,"Sacramento, CA",US PL Sacramento Factory,
Redner’s Warehouse Markets,rednersmarkets.com,55559949604,yes,65.48,C,4,"Whitehall Township, PA",US DC NFI - Breinigsville,package
MillerCoors Golden Distribution Center,,,no,65.48,C,1,"Golden, CO",US PL Denver Factory,
GFS Logistics,,,no,65.47,C,1,"Lancaster, TX",US PL Dallas 2 Factory,
Odyssey Grand Worldwide Logistics Corp,,,no,65.47,C,1,"Aurora, CO",US PL Denver Factory,
Grand Prairie Distribution Center,,,no,65.47,C,1,"Grand Prairie, TX",US PL Dallas 2 Factory,
L’OBJET Texas - Distribution Center,,,no,65.47,C,1,"Irving, TX",US PL Dallas 2 Factory,
Dallas Food for Good Warehouse,goodfood.pl,,no,65.47,C,1,"Dallas, TX",US PL Dallas 2 Factory,parent_facility:medium
Elk Grove Chevrolet Warehouse,,,no,65.47,C,1,"Elk Grove, CA",US PL Sacramento Factory,
California League-Food Processing,,,no,65.47,C,1,"Sacramento, CA",US PL Sacramento Factory,
Trü Pickles,,,no,65.47,C,1,"Littleton, CO",US PL Denver Factory,
Mid Maine CPL,,,no,65.47,C,1,"Lewiston, ME",US PL Poland Spring Factory,
Superior Foods Division,,,no,65.47,C,1,"Dallas, TX",US PL Dallas 2 Factory,
American Freight Service,americanfreightinc.com,,no,65.47,C,1,"Franklin, IN",US PL Greenwood Indiana,parent_facility:medium
24 Hour Crossdock and Storage,,,no,65.47,C,1,"West Sacramento, CA",US PL Sacramento Factory,
Mr Bult's Inc,,,no,65.43,D,1,"Auburn, ME",US PL Poland Spring Factory,
OnTrac Madison,,,no,65.43,D,1,"Madison, WI",US PL Madison Factory,
AgroChem USA,,,no,65.43,D,1,"Saratoga Springs, NY",US PL Saratoga Spring Factory,
GE Healthcare,gehealthcare.com,54415908275,yes,65.43,C,2,"Madison, WI",US PL Madison Factory,package
Alfa Laval,alfalaval.com,,no,65.43,D,1,"Greenwood, IN",US PL Greenwood Indiana,company_exact:high
"VantagePoint Industries, LLC.",,,no,65.43,D,1,"Ontario, CA",US PL Ontario Factory,
"Celco Manufacturing, Inc.",,,no,65.41,C,1,"Pomona, CA",US PL Ontario Factory,
JRC Food Trailer Manufacturing LLC,,,no,65.4,C,1,"Banning, CA",US PL Cabazon Factory,
United Freeway Transportation,,,no,65.4,D,1,"Allentown, PA",US DC NFI - Breinigsville,
Schumacher Cargo Logistics,schumachercargo.com,,no,65.34,C,1,"Houston, TX",US PL S Houston Factory,company_core:high
Outdoor Herbivore,,,no,65.34,C,1,"Sacramento, CA",US PL Sacramento Factory,
"Cain Food industries, Inc.",,,no,65.34,C,1,"Dallas, TX",US PL Dallas 2 Factory,
Adam's Sausage Factory,,,no,65.34,C,1,"Rancho Cordova, CA",US PL Sacramento Factory,
Bayport Container Terminal,,,no,65.32,C,1,"Seabrook, TX",US PL Pasadena Factory,
S & K Trucking Inc,,,no,65.3,C,1,"Hollis, ME",US PL Hollis Factory,
Komplete Packaging Service,,,no,65.29,C,1,"Grand Prairie, TX",US PL Dallas 2 Factory,
AikPak Plastics - Blisters and Clamshell Packaging,,,no,65.29,C,1,"Grand Prairie, TX",US PL Dallas 2 Factory,
TA,,,no,65.27,C,2,"Greenwood, IN",US PL Greenwood Indiana,
"Peak Refrigeration, Inc.",,,no,65.27,D,1,"Denver, CO",US PL Denver Factory,
idX Corporation - Los Angeles,,,no,65.27,D,1,"Ontario, CA",US PL Ontario Factory,
Santa Fe Distributing Inc,,,no,65.27,D,1,"Denver, CO",US PL Denver Factory,
F-D-S Manufacturing Co,,,no,65.27,C,1,"Pomona, CA",US PL Ontario Factory,
Lakeside International Trucks,,,no,65.27,C,1,"Madison, WI",US PL Madison Factory,
"Metrix Logistics Group, LLC",,,no,65.21,C,1,"Houston, TX",US PL S Houston Factory,
Accurate Fulfillment - 3PL Ecommerce Fulfillment,,,no,65.21,C,1,"Houston, TX",US PL S Houston Factory,
Advanced Logistics & Distribution Center Sacramento,,,no,65.21,C,1,"McClellan Park, CA",US PL Sacramento Factory,
Sierra Logistics Solutions DBA shipsierra.com,,,no,65.21,C,1,"North Highlands, CA",US PL Sacramento Factory,
T3RA Logistics,t3ralogistics.com,,no,65.21,C,1,"Sacramento, CA",US PL Sacramento Factory,company_exact:high
"Get It Logistics, LLC",,,no,65.21,C,1,"Allentown, PA",US DC NFI - Breinigsville,
"Advanced Logistics & Distribution Systems, LLC",acsi-us.com,,no,65.21,C,2,"McClellan Park, CA",US PL Sacramento Factory,company_fuzzy:medium
Rich Products Corporation,richs.com,54771833747,yes,65.21,C,1,"Missouri City, TX",US PL S Houston Factory,package
American Pasteurization Company,,,no,65.21,C,1,"West Sacramento, CA",US PL Sacramento Factory,
Romex HD Truck & Trailer Repair,,,no,65.13,C,1,"Sacramento, CA",US PL Sacramento Factory,
SPC Transport Co,spctran.com,45014826834,yes,65.1,D,1,"Auburn, ME",US PL Poland Spring Factory,package
Keefe -Wisconsin,,,no,65.1,D,1,"Madison, WI",US PL Madison Factory,
State Line Distillery,,,no,65.1,D,1,"Madison, WI",US PL Madison Factory,
Eastern Fire,,,no,65.1,D,1,"Auburn, ME",US PL Poland Spring Factory,
Globe Footwear LLC,,,no,65.1,D,1,"Auburn, ME",US PL Poland Spring Factory,
West's Family Farm,,,no,65.1,D,1,"Poland, ME",US PL Poland Spring Factory,
Pardon My Cheesesteak,,,no,65.1,D,1,"Hot Springs, AR",US DC Hot Springs (WHSE),
Central Transport,centraltransport.com,54407219030,yes,65.1,C,10,"Madison, WI",US PL Madison Factory,package
Frito-Lay Regional Warehouse,fritolay.com,54772621360,yes,65.1,A,2,"Whitestown, IN",US PL Greenwood Indiana,package
Hemond Farms,,,no,65.09,C,1,"Minot, ME",US PL Poland Spring Factory,
Crate & Barrel Warehouse,crateandbarrel.com,,no,65.07,C,4,"Aurora, CO",US PL Denver Factory,company_core:high
GMI Mann Warehouse,,,no,65.07,C,1,"Houston, TX",US PL S Houston Factory,
Frontier Logistics LP - Underwood Terminal,,,no,65.07,C,1,"La Porte, TX",US PL Pasadena Factory,
Core Cold Storage,,,no,65.07,C,1,"West Sacramento, CA",US PL Sacramento Factory,
Sunshine Place - Sunshine Pantry - Food Distribution Center,,,no,65.07,C,1,"Sun Prairie, WI",US PL Madison Factory,
Splendid Packaging Logistics,,,no,65.07,C,1,"Irving, TX",US PL Dallas 2 Factory,
