company_or_facility,facility_city_state,segment,icp_tier,icp_score,distance_mi,nearest_live_site,corridor
"America's Beverage Company. Kroger Manufacturing","Irving, TX","shipper","A",83,10.0,"Dallas, TX","Dallas, TX"
"El Super Distribution Center","Ontario, CA","shipper","B",53,0.6,"Ontario, CA","Ontario, CA"
"Kgp Logistics","Ontario, CA","3pl","B",50,0.1,"Ontario, CA","Ontario, CA"
"Mountain Valley Spring Co- Bottling Facility","Hot Springs Village, AR","shipper","C",45,0.1,"Hot Springs, AR","Little Rock, AR"
"EXQUISITE LOGISTICS MOVING","Denver, CO","3pl","B",50,0.2,"Denver, CO","Denver, CO"
"Faith Point Ministries - Food Distribution Center","Hot Springs, AR","shipper","C",45,0.2,"Hot Springs, AR","Little Rock, AR"
"Autumn Lanes Logistics","Denver, CO","3pl","C",40,0.2,"Denver, CO","Denver, CO"
"Kellogg's APL Logistics","Rialto, CA","3pl","A",90,12.3,"Ontario, CA","Ontario, CA"
"Chipman Relocation & Logistics","Sacramento, CA","3pl","B",50,0.3,"Sacramento, CA","Sacramento, CA"
"Fast Rite Fulfillment","Ontario, CA","3pl","B",50,0.3,"Ontario, CA","Ontario, CA"
"Saratoga EOC Soup Kitchen - Food Distribution Center","Saratoga Springs, NY","shipper","C",45,0.3,"Saratoga Springs, NY","Saratoga Springs, NY"
"Gladstone Fulfillment, Inc","Ontario, CA","3pl","B",50,0.4,"Ontario, CA","Ontario, CA"
"Eleanor Klugn Jackson House For Crisis Intervention - Food Pantry Distribution Center","Hot Springs, AR","shipper","C",45,0.4,"Hot Springs, AR","Little Rock, AR"
"Hydra Warehouse","Sacramento, CA","shipper","C",40,0.4,"Sacramento, CA","Sacramento, CA"
"Aequus Worldwide Logistics, Inc.","Denver, CO","3pl","C",40,0.4,"Denver, CO","Denver, CO"
"Oec Group Liquid Logistics Solutions","Houston, TX","3pl","C",40,0.4,"Pasadena, TX","Houston, TX"
"WorldWide Electric, Ontario CA Warehouse","Ontario, CA","shipper","B",50,0.5,"Ontario, CA","Ontario, CA"
"Souvenir Warehouse","Denver, CO","shipper","C",45,0.5,"Denver, CO","Denver, CO"
"Simple Logistics LLC","Denver, CO","3pl","C",40,0.5,"Denver, CO","Denver, CO"
"GLOBALFOUNDRIES","Malta, NY","shipper","B",65,7.2,"Saratoga Springs, NY","Saratoga Springs, NY"
"Bodega Latina Distribution Center 220","Ontario, CA","shipper","C",45,0.6,"Ontario, CA","Ontario, CA"
"Flex Logistics","Ontario, CA","3pl","B",50,0.7,"Ontario, CA","Ontario, CA"
"Pbe Warehouse","Sacramento, CA","shipper","B",50,0.7,"Sacramento, CA","Sacramento, CA"
"SLR LOGISTICS","Sacramento, CA","3pl","C",40,0.7,"Sacramento, CA","Sacramento, CA"
"About Time Logistics Corp","Saratoga Springs, NY","3pl","C",40,0.7,"Saratoga Springs, NY","Saratoga Springs, NY"
"Total Warehouse","Ontario, CA","shipper","B",50,0.8,"Ontario, CA","Ontario, CA"
"Ross warehouse","Sacramento, CA","shipper","B",50,0.8,"Sacramento, CA","Sacramento, CA"
"TUTS Reed Rd Warehouse Unit D","Houston, TX 77051, USA","shipper","B",50,0.8,"Houston, TX","Houston, TX"
"Domestic Violence Services - Food Distribution Center","Saratoga Springs, NY 12866, USA","shipper","C",45,0.8,"Saratoga Springs, NY","Saratoga Springs, NY"
"JDS Industries - Warehouse - Houston","Houston, TX","shipper","C",40,0.8,"Houston, TX","Houston, TX"
"Sanders Supply - Distribution Center","Hot Springs, AR","shipper","C",40,0.8,"Hot Springs, AR","Little Rock, AR"
"Wisconsin Kenworth - Madison","Windsor, WI","shipper","A",78,10.0,"Madison, WI","Madison, WI"
"Congdon Hill Warehouse/Samuel Adam's","Alburtis, PA","shipper","B",50,0.9,"Breinigsville, PA","Allentown, PA"
"Consolidated Bonded Warehouses Inc.","Houston, TX","shipper","B",50,0.9,"Houston, TX","Houston, TX"
"JCT Logistics Inc.","Ontario, CA","3pl","B",50,0.9,"Ontario, CA","Ontario, CA"
"Metropolitan Warehouse","Ontario, CA","shipper","B",50,0.9,"Ontario, CA","Ontario, CA"
"Warehouse Paint Co.","Hot Springs Village, AR","shipper","C",45,0.9,"Hot Springs, AR","Little Rock, AR"
"Frontier Logistics","Ontario, CA","3pl","C",40,0.9,"Ontario, CA","Ontario, CA"
"Warehouse Gym","High Springs, FL","shipper","C",40,0.9,"High Springs, FL","Jacksonville, FL"
"Shahi Logistics, LLC","Sacramento, CA","3pl","C",40,0.9,"Sacramento, CA","Sacramento, CA"
"WCS Distribution","Ontario, CA","shipper","C",40,1.0,"Ontario, CA","Ontario, CA"
"Sherwin Williams Aurora Distribution Service Center","Aurora, CO","shipper","A",80,13.4,"Denver, CO","Denver, CO"
"DSI Logistics, Inc.","Houston, TX","3pl","B",50,1.1,"Houston, TX","Houston, TX"
"FWI Warehouse","Denver, CO","shipper","B",50,1.1,"Denver, CO","Denver, CO"
"CREAM LOGISTICS LLC","Houston, TX","3pl","B",50,1.1,"Pasadena, TX","Houston, TX"
