Rank,Company,Best Composite,Mean Composite,Tier,Sites,Proximity,Fit %,Density,Min Distance (mi),Nearest Primo Site,"City, State",Segment,Confidence
5207,Safetime Crossdock,23.87,23.87,C,1,9,33.3,3,72.7,US PL Sacramento Factory,"Hayward, CA",shipper,low
5208,PalletOne Inc,23.85,23.85,D,1,38,0,1,29.1,US PL Poland Spring Factory,"Livermore Falls, ME",shipper,low
5209,CMC Logistics,23.81,23.81,D,1,20,33.3,1,48.8,US PL High Springs Factory,"Jacksonville, FL 32234, USA",3pl,medium
5210,Demoulas Super Markets Warehouse,23.79,23.79,C,1,9,33.3,3,73.2,US PL Hollis Factory,"Tewksbury, MA",shipper,medium
5211,"Toy Locker, LLC",23.78,23.78,D,1,38,0,1,29.2,US PL Hollis Factory,"Ossipee, NH",shipper,low
5212,"Precise Manufacturing, Inc.",23.76,23.76,D,1,29,26.7,0,37.5,US PL Mecosta Factory,"Casnovia, MI",shipper,medium
5213,Roses Brands Manufacturing,23.74,23.74,C,1,25,33.3,0,41.6,US PL Saratoga Spring Factory,"Canajoharie, NY",shipper,medium
5214,Double Circle C Logistics LLC,23.7,23.7,D,1,25,33.3,0,41.7,US PL Mecosta Factory,"Sanford, MI",3pl,medium
5215,Rakuten Super Logistics Fulfillment Center,23.7,23.7,C,1,19,33.3,1,49.1,US PL Allentown Factory,"Ashley, PA",3pl,medium
5216,PGI Foods,23.65,23.65,C,1,8,33.3,3,74.1,US PL Hollis Factory,"Lowell, MA",shipper,low
5217,Thrive Market Fulfillment Center,23.56,21.35,C,2,19,33.3,1,49.5,US PL Allentown Factory,"Ashley, PA",3pl,medium
5218,Cadillac Cold Storage,23.56,23.56,C,1,19,33.3,1,49.5,US PL Mecosta Factory,"Cadillac, MI",shipper,medium
5219,Warehouse 208,23.56,23.56,D,1,19,33.3,1,49.5,US PL Hawkins Factory,"Marshall, TX",shipper,medium
5220,Superior Cold Storage,23.53,23.53,C,1,8,33.3,3,74.9,US DC NFI - Breinigsville,"Elizabeth, NJ",shipper,medium
5221,Transport Logistics LLC,23.52,23.52,C,1,25,33.3,0,42.1,US PL McBee Factory,"Waxhaw, NC",carrier,medium
5222,Nortera Foods Lebanon Facility,23.52,23.52,C,1,25,33.3,0,42.1,US PL Allentown NPL Factory,"Lebanon, PA",shipper,low
5223,Hahn Packaging Inc,23.51,23.51,D,1,5,20,5,92.6,US PL Hot Springs Factory,"Fort Smith, AR",shipper,low
5224,RTS Packaging,23.47,23.47,D,1,32,20,0,34.4,US DC NFI - Breinigsville,"Frenchtown, NJ",shipper,low
5225,Fred's Foods Inc.,23.47,23.47,C,1,24,33.3,0,42.2,US PL Sacramento Factory,"Fairfield, CA",shipper,low
5226,J&H Auto & Truck Repair AKA Best-Quick Stop,23.47,23.47,C,1,8,33.3,3,75.3,US PL Hollis Factory,"Peabody, MA",shipper,low
5227,Velocity Manufacturing Inc,23.4,23.4,D,1,23,26.7,1,44.7,US PL Hollis Factory,"Exeter, NH",shipper,medium
5228,Cold River Marine,23.37,23.37,D,1,37,0,1,29.8,US PL Hollis Factory,"Center Ossipee, NH",shipper,low
5229,High Liner Foods Distribution Center,23.35,23.35,C,1,8,33.3,3,76.1,US PL Hollis Factory,"Peabody, MA",shipper,medium
5230,We Pack Logistics,23.34,22.53,C,2,24,33.3,0,42.5,US PL McBee Factory,"Rockingham, NC",3pl,medium
5231,North Country Cold Storage,23.32,23.32,C,1,19,33.3,1,50.2,US PL Poland Spring Factory,"Berlin, NH",shipper,medium
5232,Liberty Crossdock,23.31,23.31,C,1,8,33.3,3,76.4,US DC NFI - Breinigsville,"Elizabeth, NJ",shipper,low
