Rank,Composite,Proximity,Fit %,Density,Distance (mi),Nearest Primo Site,Tier,Segment,Confidence,Name,Account,"City, State",Vertical,Enterprise,Network,Corridor,Address
7069,20.77,23,26.7,0,43.8,US PL Hawkins Factory,D,shipper,medium,Allied Truss Texas-Jacksonville Manufacturing Plant,,"Jacksonville, TX",20,0,0,"Jacksonville, TX","387 Co Rd 3217, Jacksonville, TX 75766, USA"
7070,20.77,14,33.3,1,58.7,US PL Cabazon Factory,C,shipper,low,Culinary Specialties,,"San Marcos, CA",25,0,0,"Vista, CA","1231 Linda Vista Dr, San Marcos, CA 92078, USA"
7071,20.76,10,0,5,67.7,US PL McBee Factory,D,shipper,low,Carolina Cross Dock,,"Charlotte, NC",0,0,0,"Charlotte, NC","Henderson Cir, Charlotte, NC 28269, USA"
7072,20.75,14,33.3,1,58.8,US PL Denver Factory,C,shipper,low,Trisco Foods,,"Colorado Springs, CO",25,0,0,"Colorado Springs, CO","1555 Garden of the Gods Rd, Colorado Springs, CO 80907, USA"
7073,20.7,19,33.3,0,49.1,US PL Hollis Factory,C,3pl,medium,M & S Logistics Inc,,"Candia, NH",25,0,0,"Auburn, ME","33 Raymond Rd, Candia, NH 03034, USA"
7074,20.69,3,33.3,3,104.4,US PL Hollis Factory,C,shipper,medium,Boston Freight Terminals LLC,,"Stoughton, MA",25,0,0,"Auburn, ME","139 Shuman Ave, Stoughton, MA 02072, USA"
7075,20.67,19,33.3,0,49.2,US PL Greenwood Indiana,C,shipper,low,Red Gold Elwood Facility,,"Elwood, IN",25,0,0,"Elwood, IN","490 S 22nd St, Elwood, IN 46036, USA"
7076,20.67,14,33.3,1,59.1,US PL McBee Factory,C,3pl,medium,Artisan Logistics Inc,,"Irmo, SC",25,0,0,"Columbia, SC","7567 St Andrews Rd Suite 101, Irmo, SC 29063, USA"
7077,20.63,19,33.3,0,49.3,US PL Dallas 2 Factory,C,shipper,medium,Warehouse Outlet of Texas,,"Hillsboro, TX",25,0,0,"Hillsboro, TX","4375 TX-22, Hillsboro, TX 76645, USA"
7078,20.63,19,33.3,0,49.3,US PL Saratoga Spring Factory,C,shipper,medium,Beverage & Smoke Warehouse,,"West Coxsackie, NY",25,0,0,"Saratoga Springs, NY","11684 State, US-9W, West Coxsackie, NY 12192, USA"
7079,20.6,19,33.3,0,49.4,US DC NFI - Breinigsville,C,shipper,medium,24/7 Warehouse crossdock,,"Branchburg, NJ",25,0,0,"Allentown, PA","34 Columbia Rd, Branchburg, NJ 08876, USA"
7080,20.57,10,0,5,68.7,US PL High Springs Factory,D,shipper,medium,Crowley Liner Services - Terminal,crowley,"Jacksonville, FL",0,0,0,"Jacksonville, FL","3001 Talleyrand Ave, Jacksonville, FL 32206, USA"
7081,20.56,19,33.3,0,49.5,US DC NFI - Breinigsville,C,3pl,medium,United Global Express Cross Dock & Fulfillment,,"Branchburg, NJ",25,0,0,"Allentown, PA","34 Columbia Rd, Branchburg, NJ 08876, USA"
7082,20.56,19,33.3,0,49.5,US PL Allentown NPL Factory,C,shipper,low,Kreider Foods Inc.,,"Lancaster, PA",25,0,0,"Allentown, PA","1555 Sylvan Rd, Lancaster, PA 17601, USA"
